      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2013-05-22 18:41:03,  16387,      29.10,          17,       0.01,      563.13,        0.58,        2.99,   16387,       0
2013-05-22 19:00:49,  16394,      29.87,          17,       0.01,      548.84,        0.57,        2.90,   16394,       0
2013-05-22 19:04:35,  16356,      27.76,          12,       0.01,      589.19,        0.43,        3.61,   16356,     225
2013-05-22 19:13:35,  16384,      29.67,          17,       0.00,      552.21,        0.57,        2.50,   16384,     223
2013-05-22 20:00:08, 122198,      29.10,         132,       0.00,     4199.24,        4.54,       14.92,  122198,     308
2013-05-22 20:13:05, 127503,      29.99,         138,       0.00,     4251.52,        4.60,       14.91,  127503,     335
2013-05-22 20:21:48,  21575,       5.08,          23,       0.00,     4247.05,        4.53,       14.89,   21575,       0
2013-05-22 20:23:15, 121755,      29.10,         132,       0.00,     4184.02,        4.54,       14.93,  121755,       0
2013-05-23 18:05:22,  16368,      29.21,          17,       0.00,      560.36,        0.58,        2.54,   16368,       0
2013-05-23 18:19:34,  16382,      29.68,          17,       0.00,      551.95,        0.57,        2.43,   16382,       0
2013-05-23 18:25:23, 133581,      29.45,         144,       0.00,     4535.86,        4.89,       14.94,  133581,       0
2013-05-23 19:51:35, 212085,      30.00,         229,       0.00,     7069.50,        7.63,       14.86,  212085,       0
2013-05-23 19:58:11, 128683,      29.73,         139,       0.00,     4328.39,        4.68,       14.87,  128684,       0
2013-05-23 19:59:51, 380949,      29.17,         413,       0.00,    13059.62,       14.16,       14.80,  380949,       0
2013-05-23 21:09:41,  16395,      29.04,          17,       0.00,      564.57,        0.59,        0.91,   16395,       0
2013-05-23 21:19:39,  16389,      29.43,          17,       0.00,      556.88,        0.58,        0.89,   16389,       0
2013-05-23 21:30:10,  16399,      29.86,           8,       0.00,      549.20,        0.27,        0.98,   16399,       0
2013-05-23 21:45:45,  16386,      29.05,           8,       0.00,      564.06,        0.28,        1.01,   16386,       0
